id,name,rating,reviews,address,location_query,weighted_rating
r49CWbLD6ilNlr1dsVWpyw,Phin Bar,4.8,100,"San Jose, CA 95131","Milpitas, CA",4.7670314992025515
0shDLKELWfgbOTuFgQcqjw,Boutique Coffee Bar,5.0,14,"3650 Mount Diablo Blvd Lafayette, CA 94549","Lafayette, CA",4.765123873873874
cDMhfnqVbS1To_K_j4qA9Q,Jessie Bon Appetit,5.0,14,"Daly City, CA 94014","Colma, CA",4.765123873873874
b0n7i47fZIEA2R_EhWOYrg,Ancestors Cafe & Market,4.8,87,"2956 Teagarden St San Leandro, CA 94577","San Leandro, CA",4.7623474499089244
iZeZSM1CCa2wLfV7EtGdDQ,Kung Fu Tea,4.8,87,"593 Woodside Rd. Redwood City, CA 94061","Atherton, CA",4.7623474499089244
1pM1SXnDiIy7pvUo2ek0TQ,The Wild Poppy Cafe & Market,4.8,87,"9890 Bodega Hwy Sebastopol, CA 95472","Sebastopol, CA",4.7623474499089244
3J5yG4G8Yt-Io1RcZ7m_8g,Kitchen Cafe & Catering,4.8,84,"6 Hamilton Lndg Ste 100 Novato, CA 94949","Novato, CA",4.761071092278719
0H1EHAqQcOaNhLHAzULEBA,Besties Boba & Bites,4.8,84,"4520 Las Positas Rd Livermore, CA 94551","Livermore, CA",4.761071092278719
q4UsEe7CSnu4ZZRogOVkYg,City Lights Cafe & Catering,4.9,23,"1515 Tennessee St Vallejo, CA 94590","American Canyon, CA",4.758356060606061
jLFu9JmALkBGR9nOBcu1KQ,2Ơi,4.8,73,"2705 Marina Blvd San Leandro, CA 94577","San Leandro, CA",4.755545698924731
GVD4m1vY1UIAkjhoualDBQ,Oaktown Spice Shop,4.8,71,"1224 Solano Ave Albany, CA 94706","Albany, CA",4.7543681015452535
cML-vWrW2r6JlQQLhIcJ_A,Revival Coffee,4.8,71,"1 Rolph Park Dr Crockett, CA 94525","Benicia, CA",4.7543681015452535
OkU6eW1ncO2MOMO6ACUstA,The Village Hub - Coffee Bar & Garden,4.8,67,"3154 Woodside Rd Woodside, CA 94062","Woodside, CA",4.751815268065267
52AR4ytdbyotevKl10YVEw,Lanikai BBQ Tea House,5.0,13,"2737A Hyde St San Francisco, CA 94109","Tiburon, CA",4.751702380952381
LZ3CId_8iWuObrX-JfRR9Q,love.cook.nourish,5.0,13,"Clayton, CA 94517","Clayton, CA",4.751702380952381
VE9QNAdpIGZj6KyB9aDcRw,Mountain Bound Coffee & Tea,5.0,13,"5300 Claremont Ave Oakland, CA 94618","Piedmont, CA",4.751702380952381
yu1KtUQT0TeLdpg_o8jBgw,The Party Press,5.0,13,"San Mateo, CA 94401","Foster City, CA",4.751702380952381
CFZdZJcK0WcUjd1-S9iHRg,Celeste,4.8,65,"520 Main St Vacaville, CA 95688","Suisun City, CA",4.75042865707434
clexWHAGw2HGbUrNniu1RQ,Deux Cranes,4.8,64,"15531 Union Ave Los Gatos, CA 95032","Los Gatos, CA",4.74970498783455
7vbI3gCUOLR8ZOF8gvnOiw,Aroma Buena Cafe,4.8,62,"2155 Bayshore Blvd San Francisco, CA 94134","Brisbane, CA",4.748192355889723
e5Q7bIyOHzgu0rSxAIsbwQ,The Rolling House,4.8,60,"3340 San Pablo Dam Rd Ste M San Pablo, CA 94803","Pinole, CA",4.746585917312661
aeZM2MbE9leV4BB0aaqE9g,Boba Run & Mochi Donuts,4.8,58,"15 E Lewelling Blvd San Lorenzo, CA 94580","San Leandro, CA",4.744876666666666
uL_sz2-b78TbxZV9bGf92A,Musubi Libre,4.8,58,"828 Main St Pleasanton, CA 94566","Dublin, CA",4.744876666666666
PDo7DFZoFrYyc_zZGCx7Aw,Wine Country Chocolates,4.8,58,"14301 Arnold Dr Glen Ellen, CA 95476","Sonoma, CA",4.744876666666666
VLs7tiCl0qa92_4Wxo9jng,Apizza,4.8,58,"298 Bon Air Ctr greenbrae, CA 94904","Corte Madera, CA",4.744876666666666
g1phsVFJ_CepawP1idOEYQ,Village,4.9,20,"1503 Tennessee St Vallejo, CA 94590","American Canyon, CA",4.741011904761905
jml1llCK3Gvr9LRCh8JwiA,Chill Spot Rendezvous,4.8,50,"271 Baldwin Ave San Mateo, CA 94401","San Mateo, CA",4.736785168195718
aucHF5TmgJw9WZKngc76kw,Blondie's Bakery Boutique,4.8,49,"404 Mendocino Ave Ste A Santa Rosa, CA 95401","Santa Rosa, CA",4.735603582554517
N1Gbh8ePQJNDwzSEF3VGnQ,The Chocolate Dozen,4.9,19,"San Ramon, CA 94582","Danville, CA",4.73424645390071
ghcGPDzIGets0JhVnh2UFA,Lafayette Scoop,4.8,44,"63 Lafayette Cir Lafayette, CA 94549","Concord, CA",4.728964776632302
9RFuw7R5V7XHd0QKPqmaCw,The Hen and Drake Modern Tearoom,4.8,43,"520 W 2nd St Antioch, CA 94509","Antioch, CA",4.727469298245614
9Mu3WHUHRoVi1S0gSW9e0A,Yemen Cafe & Restaurant,4.8,43,"13112 San Pablo Ave Richmond, CA 94805","El Cerrito, CA",4.727469298245614
t-b95-Ij9hpAffGuO3r7ZQ,Cat Cat's Nom Nom,4.8,42,"Sunnyvale, CA 94086","Los Altos, CA",4.725909498207885
Sox3AnV57ky-_58ldPVZtg,La Joya Café,4.8,39,"28 Leland Ave San Francisco, CA 94134","Brisbane, CA",4.720799808429118
pRyTHStiO3ZsdmMG5AYlpA,Milk Tea Lab Boba Catering,5.0,11,"5100 Clayton Rd Ste A 13 Concord, CA 94521","Clayton, CA",4.719663978494624
1rNXyNGTIbHmwR4djn7BSA,Black Diamond Market,5.0,11,"2665 Somersville Rd Antioch, CA 94509","Antioch, CA",4.719663978494624
2j8tPxcuPzprjW77PEPaVQ,J&J's Smokin' BBQ,5.0,11,"4391B Trinity Dam Blvd Lewiston, CA 96052","Helena, CA",4.719663978494624
